Loan_Amount_Requested,Length_Employed,Home_Owner,Annual_Income,Income_Verified,Purpose_Of_Loan,Debt_To_Income,Inquiries_Last_6Mo,Months_Since_Deliquency,Total_Accounts,Gender,Interest_Rate
32000,1,0,125000,0,2,17.38,1,51,37,1,2
20000,1,0,0,2,2,12.66,0,50,54,1,0
10000,11,4,36000,0,9,35.88,0,76,50,1,1
20000,1,0,128000,0,11,11.81,3,0,37,1,2
35000,1,4,0,1,2,8.89,3,0,37,0,1
6075,1,5,0,0,2,24.96,1,47,29,1,1
14000,4,0,70000,2,2,28.8,1,32,26,0,2
8000,2,0,78000,2,1,17.09,0,0,19,0,0
24000,8,4,99000,1,2,16.48,1,0,26,0,2
1200,1,0,85000,1,9,16.29,1,6,27,1,2
10000,5,0,45000,2,2,13.39,1,46,15,1,2
25725,1,0,0,1,2,18.88,0,0,23,1,2
6600,2,4,50000,2,2,18.72,1,0,11,1,1
12000,1,3,50000,2,2,23.31,0,38,30,1,1
12250,0,4,51500,1,2,23.6,2,0,18,1,2
13600,9,0,64000,2,1,28.8,1,74,52,0,1
8500,1,0,0,0,2,5.16,3,0,16,1,2
35000,5,0,176000,0,6,4.93,0,0,15,1,1
20175,1,4,45000,2,2,21.84,0,0,19,1,1
10000,10,0,174000,0,2,24.62,0,0,45,1,0
25225,1,3,76438,0,2,23.94,0,0,21,1,1
10000,1,5,74152,1,2,9.55,0,37,28,0,1
9525,1,3,0,2,2,29.17,2,0,34,1,2
8000,2,4,40000,1,2,29.04,2,73,33,1,1
31500,1,0,83000,0,4,13.01,0,58,20,1,1
13350,3,3,45000,1,2,17.91,1,25,18,1,2
10000,3,4,71500,2,1,11.08,0,0,22,1,0
31700,3,0,160000,1,1,29.46,2,0,42,1,2
25725,2,0,0,0,2,26.73,2,18,54,1,2
14000,5,4,61500,1,1,17.72,1,0,21,1,0
15000,1,0,43000,2,1,23.82,0,0,18,0,0
10000,1,0,71000,1,1,5.63,1,0,9,1,0
18000,10,0,72000,1,2,17.87,0,0,36,1,0
15000,1,4,145758,0,2,7.75,0,28,44,0,2
5000,1,5,78000,2,7,10.02,1,35,21,1,1
28000,0,5,190000,1,1,14.39,2,0,32,0,0
3250,9,0,42000,1,1,23.06,2,81,32,0,1
21600,1,5,48000,1,2,12.49,1,42,45,0,1
2100,2,4,44500,0,7,22.95,3,0,24,1,2
6000,1,3,69996,0,2,18.4,2,0,15,1,1
17600,6,5,0,2,2,20.35,0,9,23,1,0
35000,1,4,116957,0,1,10.56,0,14,24,0,2
5000,1,0,45000,1,4,13.23,0,0,11,0,0
10050,8,0,42000,2,2,27.54,1,0,17,1,2
12000,4,5,65000,0,2,24.3,1,36,24,1,2
18900,8,4,0,0,1,24.81,0,29,33,0,0
9000,10,0,250000,1,4,2.63,0,0,11,0,0
20000,2,5,75000,1,1,14.89,0,7,34,0,1
20000,4,5,95000,1,11,1.11,2,0,8,1,0
35000,1,0,120000,0,1,20.23,1,35,43,1,2
35000,8,0,160000,0,2,10.17,0,8,34,1,1
21500,5,0,0,2,1,27.32,0,0,32,1,1
7000,6,0,65000,0,2,24.3,1,0,19,0,2
5000,1,4,43000,1,2,10.27,0,72,41,0,2
16000,3,4,100000,2,2,11.62,1,10,17,1,2
8100,0,4,0,2,2,26.41,1,0,4,1,2
27575,1,5,0,1,4,17.9,2,0,29,1,2
10000,2,4,75000,2,2,11.55,0,0,18,1,0
11200,4,0,0,2,1,16.99,1,0,39,1,0
15000,6,5,0,1,2,11.84,2,54,16,0,1
16000,1,0,54000,0,2,14.18,1,0,19,0,2
10050,1,4,0,1,2,9.91,1,16,29,1,2
15000,1,0,100000,0,4,16.79,0,0,29,1,0
25000,9,0,65000,0,2,21.9,0,0,29,1,2
5900,9,0,35000,2,1,15.81,2,14,15,0,1
14400,1,0,120000,2,4,12.64,0,33,36,1,0
2500,7,5,40000,2,2,27.39,1,0,46,1,1
4800,7,0,0,2,2,6.95,2,0,12,1,1
5000,11,5,0,0,2,16.57,1,0,14,1,2
10000,5,0,48000,2,2,19.88,1,53,30,0,1
9500,11,0,40000,0,2,25.83,3,0,36,1,1
5000,1,0,46000,0,1,23.53,1,44,45,1,0
15000,1,0,0,2,2,8.56,3,46,38,1,0
25000,6,0,71500,0,2,18.51,2,39,29,0,2
8000,1,0,0,0,2,24.21,1,0,30,1,0
16750,4,3,0,1,2,27.37,3,0,25,0,2
14000,2,4,82000,0,2,13.8,0,32,21,0,1
21125,1,4,48131,0,2,22.92,0,0,25,1,2
7200,3,4,28000,1,2,15.86,0,41,13,1,1
12000,3,4,53000,2,0,17.44,0,0,9,0,1
12000,1,0,95000,2,1,17.59,3,54,22,1,1
35000,10,0,0,0,9,22.66,0,22,22,1,2
3500,8,0,73000,0,2,23.24,1,0,24,1,1
4500,10,4,34000,2,2,28.24,1,23,49,1,1
5500,1,5,40000,1,1,16.77,2,0,17,1,1
2000,6,4,55000,0,2,26.76,3,0,37,0,2
15850,1,4,36000,0,2,29.97,0,0,21,1,2
14900,3,4,49900,1,2,26.38,1,42,31,1,0
3000,0,4,20000,2,2,8.1,1,0,10,1,2
11975,3,0,55000,2,1,24.22,0,0,29,1,2
18500,1,0,0,0,2,15.62,1,0,34,0,1
5000,1,0,140000,0,2,15.82,0,0,20,1,0
15350,8,5,0,2,2,16.5,0,0,17,0,1
24000,3,0,102000,2,4,16.14,1,0,15,1,1
16000,10,4,0,0,1,29.16,1,62,27,1,2
16000,7,0,95000,2,2,28.07,0,0,32,1,0
4800,1,0,34000,2,10,24.07,0,0,27,0,2
21000,10,0,80000,1,1,20.06,0,0,51,1,1
5000,6,0,84000,2,4,4.17,0,34,5,1,1
23800,7,0,0,0,1,12.77,1,0,31,1,2
8800,2,4,72000,2,1,10.73,0,30,20,1,0
25000,10,5,90000,1,1,25.23,0,0,34,0,1
12500,2,5,0,2,2,17.93,0,0,21,0,1
16000,8,0,51000,1,1,22.35,0,0,8,1,1
20000,4,4,58000,1,2,25.99,0,0,35,1,1
15325,1,3,54000,1,2,36.47,0,0,18,1,0
35000,1,4,155000,0,2,6.94,1,0,17,0,2
10000,1,3,80000,1,2,15.14,0,0,25,1,1
4450,9,5,55300,1,2,26.93,2,0,18,1,2
25000,1,0,150000,0,1,19.65,0,77,22,1,0
20000,2,5,62000,0,2,14.15,2,0,33,0,2
18000,1,4,92000,2,2,11.56,1,18,34,0,0
11200,6,3,0,1,2,20.67,2,23,32,1,1
18000,9,4,47000,0,2,23.41,1,10,21,0,2
14475,1,0,94000,2,2,18.59,0,47,25,1,1
35000,1,0,0,1,1,9.21,2,12,27,0,1
19325,1,0,0,2,1,21.22,1,79,30,1,0
8575,1,0,34000,0,2,30.89,3,0,24,1,2
12000,1,0,97500,2,2,14.48,0,0,41,1,1
17000,2,0,94000,2,2,20.18,0,0,31,1,0
24000,1,3,120000,1,2,12.46,1,46,31,1,2
15000,6,4,0,1,1,16,0,0,27,1,0
16000,7,5,95000,2,4,9.45,1,0,4,0,0
3025,3,0,87000,0,2,8.22,0,4,24,1,1
8000,3,0,70000,1,2,20.93,2,0,18,1,0
16000,10,0,117000,1,6,2.58,0,0,23,0,1
16000,1,5,97500,0,9,22.75,1,0,20,1,2
17000,11,3,0,0,2,37.4,0,0,17,1,1
1600,10,4,15360,1,7,1.95,0,0,4,1,1
5000,3,5,45000,1,2,13.25,1,0,11,1,1
4500,1,4,50000,2,2,25.61,1,0,26,1,2
12400,4,4,0,0,1,29.28,2,6,29,1,2
7000,1,4,71000,1,2,4.65,0,68,32,1,1
7200,3,0,95000,1,6,4.65,1,51,17,1,1
5750,10,4,0,1,2,12.12,0,0,19,0,2
26500,1,5,60000,0,2,16.26,0,51,16,1,2
24300,2,0,80000,1,2,18.5,1,0,25,0,1
3200,1,0,48500,2,2,8.14,0,0,10,0,1
22500,2,0,0,0,2,22.71,0,0,24,1,0
15000,9,4,48000,2,2,18.68,3,0,18,0,2
5000,7,5,63000,1,2,19.2,1,0,20,1,1
15000,10,4,0,1,2,24.4,0,0,30,1,1
14400,6,4,50000,2,2,12.19,0,0,16,1,2
10000,1,0,0,0,1,25.31,0,40,46,0,0
21000,10,4,82500,0,2,34.87,3,0,56,1,1
23200,9,0,90000,0,2,11.45,3,29,25,1,2
15000,9,3,114000,0,1,13.57,0,0,32,1,1
28000,0,4,90000,1,2,21.64,1,68,29,0,1
13200,5,4,269000,0,9,15.82,0,0,63,0,1
10500,10,0,57400,2,1,12.86,0,0,38,1,0
35000,1,0,0,0,2,17.26,0,7,33,1,2
8500,3,0,90000,2,1,6.99,1,4,41,1,1
17500,3,4,45000,1,2,11.09,2,0,7,1,2
17000,1,0,50000,1,2,19.42,0,16,25,1,1
24000,0,4,222800,0,1,4.25,0,0,17,0,0
8000,10,4,39000,2,1,14.8,0,0,9,1,1
9000,2,4,63000,2,2,11.9,2,23,22,1,1
5000,1,0,55000,2,4,4.95,1,0,21,0,1
12000,10,5,84000,1,6,22.66,0,0,25,1,0
7500,7,5,47000,1,1,15.45,1,26,22,0,2
12375,9,0,52800,0,1,26.77,3,25,42,0,2
8000,8,0,0,1,9,21.93,3,0,61,1,2
15500,1,0,0,0,1,24.49,0,2,33,0,1
9000,0,4,40000,1,2,31.29,0,32,17,1,1
4000,5,0,46000,0,2,34.73,1,72,23,1,0
5750,2,4,20000,2,1,23.4,3,0,6,1,2
15000,4,0,100000,1,2,9.35,0,16,18,1,0
20000,10,3,0,1,2,10.01,0,0,26,1,0
15000,10,4,125000,0,2,6.8,0,38,15,1,2
20125,4,4,64500,0,2,24.78,3,0,63,1,0
1600,1,3,28000,1,2,10.41,0,81,26,1,0
33825,6,3,0,0,2,20.96,1,32,30,1,2
10000,6,0,0,1,4,6.86,1,0,10,1,2
4000,10,0,60000,2,0,11.08,0,0,33,0,1
5625,5,4,39054,2,1,8.27,0,0,6,1,1
12000,3,3,75000,0,2,9.76,2,0,28,1,0
13000,7,5,77000,2,1,19.04,0,0,13,1,2
35000,1,0,90000,0,2,28.37,2,0,42,1,2
7200,7,4,80000,1,9,4.05,0,42,26,1,1
8075,7,4,50000,0,2,15.82,0,0,31,1,2
13000,4,4,72000,0,2,7.23,0,74,27,1,1
10000,0,5,47684,2,1,7,0,0,16,1,0
15000,4,4,0,2,2,17.31,1,4,19,1,2
16000,1,0,84000,1,4,14.57,1,0,25,1,1
11625,1,0,50000,2,1,28.9,1,0,25,1,2
27675,7,0,0,1,2,15.97,0,0,21,1,2
16150,10,0,0,1,1,23.15,0,12,15,1,2
10000,4,0,59700,0,6,22.81,1,6,32,1,1
23000,2,5,110000,0,6,0.27,0,0,6,1,1
3000,1,0,32904,2,9,22.79,2,0,7,0,1
12250,4,5,47540,2,1,17.27,1,73,24,1,1
35000,5,0,100000,0,2,14.16,1,0,28,0,1
5000,10,4,25200,1,2,26.71,1,0,16,0,1
5000,9,4,57000,1,1,28.19,0,5,24,0,0
8800,3,0,0,1,1,10.97,2,25,22,1,1
10800,2,4,33895.98,1,9,22.52,0,74,26,1,2
32000,9,5,92000,0,2,9.43,1,0,13,0,2
22950,8,0,50000,2,1,18.29,1,69,13,0,2
12000,7,4,45000,1,2,12.72,0,68,20,1,2
6000,9,0,65827,2,2,9.24,3,0,8,1,2
20000,3,4,100000,1,2,17.16,0,0,22,1,0
35000,1,0,150000,0,2,15.03,0,43,31,1,1
26000,1,4,0,0,1,15.13,0,68,23,1,1
5000,7,4,20000,2,1,29.49,0,0,16,0,1
12775,1,4,0,1,1,30.88,0,0,11,0,2
30225,1,5,0,0,9,13.28,0,12,21,1,2
35000,7,5,160000,0,2,21.6,0,0,42,1,2
20000,10,5,60000,2,2,26.16,0,0,35,1,1
12000,3,5,58000,2,2,22.18,0,0,28,0,1
15000,2,4,125000,1,1,12.03,0,8,21,1,1
10000,0,4,0,2,2,14.37,0,0,12,0,0
24650,5,0,97333,0,2,16.59,2,8,26,1,0
30000,0,0,98000,0,1,15.01,2,13,21,1,1
15000,10,4,82500,2,2,17.93,2,49,17,1,2
23000,1,4,62000,0,2,27.02,1,36,34,1,1
6000,1,4,101350,1,9,16.59,2,65,41,1,2
10000,8,5,42000,0,2,21.46,1,52,28,0,2
15000,1,4,91000,2,2,12.91,0,0,24,1,0
13175,7,4,30000,1,2,37.92,0,0,26,1,2
18025,9,0,0,1,1,33.46,0,0,18,1,2
5450,4,5,70000,1,2,13.15,0,11,30,1,0
4000,1,0,32000,1,9,22.17,0,0,10,1,2
9000,1,0,52000,2,4,28.53,1,40,23,1,0
12000,3,4,49000,1,2,24.52,0,0,33,1,1
12000,1,4,81000,0,2,28,0,0,24,1,2
29000,9,0,0,0,1,1.44,1,0,7,1,2
25000,1,5,96000,0,6,21.43,0,0,26,0,1
12000,7,0,63000,2,2,24.59,0,0,33,1,1
18250,8,5,42000,0,1,29.46,1,0,36,1,1
10700,3,4,38000,2,2,26.49,0,67,32,1,1
20800,1,4,100000,0,2,14.46,0,43,31,1,1
10000,4,4,85000,2,6,2.4,0,27,19,0,0
6800,1,0,0,0,4,15.35,5,20,18,1,1
7375,9,0,100000,1,1,14.15,2,48,33,1,1
20875,7,4,58000,1,2,22.49,1,27,34,1,2
13500,10,0,50000,1,4,24.32,0,7,34,1,2
20000,2,5,80000,0,2,18.63,3,13,26,1,1
12250,8,5,89000,0,2,23.8,1,12,49,1,2
15000,1,0,0,2,2,10.8,0,18,21,1,1
26000,8,4,140000,1,2,19.94,1,0,26,0,0
12000,6,0,250000,0,4,9.62,0,0,13,1,0
4800,4,4,56048,2,6,16.55,2,0,32,0,0
14000,5,5,65000,0,11,3.23,1,0,8,1,1
11675,2,5,26000,2,2,39.7,1,9,30,1,2
4575,4,4,25000,2,2,19.78,1,0,12,1,2
18250,1,0,50000,1,2,26.96,0,0,27,0,1
20000,6,5,87000,1,11,15.48,0,0,27,1,1
20000,1,0,75000,0,4,9.86,0,0,9,1,0
24000,1,0,90000,1,2,16.21,0,64,61,1,1
18225,4,0,0,2,2,15.5,0,0,20,0,1
15950,1,4,70000,1,2,14.06,1,0,22,0,2
21000,1,0,155500,1,1,19.08,1,27,42,1,1
10000,3,4,100000,1,2,25.03,1,42,48,1,1
3500,1,5,32000,2,1,22.5,0,0,21,1,0
29000,10,4,140000,1,1,14.29,0,17,19,1,2
22000,4,4,82000,1,2,9.35,1,0,9,1,1
3000,0,4,30000,2,2,12.64,1,0,12,1,2
8000,1,0,55000,0,2,4.23,0,0,24,0,0
17225,10,0,48000,0,2,26.45,1,0,42,1,2
7000,2,4,62000,2,2,8.6,1,0,18,1,0
15000,5,4,0,2,2,22.03,0,0,27,1,1
8000,2,3,110000,1,4,16.42,0,15,31,1,0
20000,1,0,105000,1,2,10.5,0,21,25,1,0
2000,3,4,35000,2,9,24.18,1,20,15,1,2
12000,4,5,0,2,1,21.01,1,0,17,0,2
20000,3,0,76000,0,1,16.56,4,0,37,1,0
25000,1,0,60000,1,2,30.48,0,0,23,0,2
11100,3,0,54000,2,2,1.96,1,0,7,1,1
1800,5,3,40000,0,9,20.65,4,25,27,1,2
4000,5,5,138000,2,0,16.17,0,0,38,1,0
7000,4,4,70000,1,2,27.7,1,10,24,1,1
15350,4,0,120000,0,4,8.68,3,20,20,1,2
24500,4,4,0,0,11,13.15,2,18,18,1,2
4450,1,5,60000,1,2,28.38,5,0,60,0,1
18500,1,0,900000,2,2,1.91,0,56,31,0,0
9000,9,5,80000,2,2,11.48,1,0,16,1,1
20000,10,4,0,1,1,11.91,0,0,28,1,1
8875,1,0,41000,0,2,23.62,0,0,16,0,0
6600,5,0,0,1,1,26.5,1,38,19,1,1
3500,5,4,40000,0,2,8.7,0,35,16,1,2
10000,4,5,54000,1,5,14.24,1,57,34,0,1
5000,11,5,30000,0,9,27.2,1,0,26,1,0
5000,0,4,44000,1,1,14.49,0,9,32,1,0
33425,1,4,0,0,4,7.2,2,28,16,0,2
35000,10,5,100000,0,2,12.83,0,0,33,0,1
35000,1,0,0,0,2,21.97,0,0,30,1,1
21500,1,5,125053,2,2,6.47,1,34,37,1,1
21000,4,0,0,1,2,13.02,1,0,9,1,2
12000,10,0,58000,2,2,6.74,1,0,31,1,0
14000,4,0,0,1,1,10.16,0,0,25,1,0
9450,5,4,0,0,1,18.08,3,47,34,1,2
10000,1,4,0,2,5,4.11,2,36,24,0,0
24600,1,3,0,1,1,18,0,54,47,1,2
10975,2,3,27000,1,2,11.87,0,61,10,1,1
10000,11,5,45000,2,2,11.87,0,57,21,1,0
6075,1,0,0,2,2,10.47,1,0,15,0,1
2575,1,5,52000,2,2,22.5,0,18,45,1,1
25000,6,0,100000,1,2,20.15,0,46,47,1,0
13100,4,0,0,0,2,25.76,1,0,17,0,2
25000,1,0,75000,1,1,22.74,0,16,16,1,1
3000,0,4,40000,2,9,27.27,2,43,44,0,2
14000,8,4,35000,0,11,19.68,2,0,7,1,1
28000,9,0,110000,0,2,6.76,0,13,23,0,1
12000,2,0,80000,2,2,12.05,0,62,40,1,0
11300,7,4,0,0,2,16.43,0,0,45,0,2
5950,0,4,25000,1,2,23,1,4,29,1,1
15000,0,4,44500,2,2,26.75,0,0,14,1,0
28625,6,5,73150,1,1,28.96,1,0,39,1,2
24000,0,4,0,1,2,32.75,0,0,26,0,1
12000,4,0,60000,1,2,5.91,1,0,14,1,1
10000,10,5,32011,0,2,34.79,1,0,35,1,2
11000,1,5,120000,1,1,10.17,0,49,26,1,0
15000,10,5,0,1,1,15.03,3,32,38,1,0
20000,4,5,120000,0,1,19.25,2,35,48,0,1
35000,1,0,100000,0,2,30.23,0,0,23,0,1
16450,1,0,45000,0,2,23.57,3,0,31,0,2
7200,10,4,52000,2,1,8.71,2,0,8,0,1
30000,9,0,0,0,1,18.88,1,48,28,1,2
15000,5,0,57000,0,6,22.76,0,0,20,1,1
8000,10,5,47000,0,1,13.91,0,69,13,0,1
5000,5,0,42082,0,2,18.31,0,0,33,1,0
10000,2,4,37000,0,2,21.21,2,42,26,1,2
15000,1,0,160000,0,9,5.52,0,0,27,1,0
3000,6,4,79000,2,6,6.82,2,14,23,1,2
12550,1,5,30000,0,1,17.84,1,71,20,1,2
33425,1,4,101000,0,2,22.25,0,30,23,1,2
15000,2,0,54000,2,2,10.4,1,8,23,1,1
14400,0,5,64000,0,2,14.19,1,8,25,1,2
18000,1,0,42000,1,2,19.03,0,0,37,1,1
25000,1,0,0,2,2,15.98,0,0,18,1,1
3000,1,4,78000,2,2,14.8,0,69,15,1,1
20000,6,0,136000,0,2,5.47,6,80,57,1,0
6500,10,4,25000,1,2,32.26,0,0,19,1,1
6000,9,0,36000,1,2,21.1,0,0,20,1,0
20000,1,3,45000,1,2,23.63,1,0,27,0,1
13000,1,4,87000,1,12,7.12,3,13,22,0,1
20000,1,5,88800,0,2,24.66,1,0,20,0,2
35000,1,4,100000,0,2,18.92,1,11,33,1,2
18000,1,0,84300,1,2,8.57,0,0,11,1,2
30000,7,5,75000,0,2,28.32,0,28,40,0,2
19200,5,4,78177,2,1,23.97,0,0,18,1,0
4000,7,0,65000,2,2,22.08,1,39,16,1,1
10000,11,3,41132.76,0,1,17.88,0,0,19,1,0
26000,1,0,0,1,2,22.3,2,10,29,1,1
13000,8,0,64480,1,1,17.33,0,30,31,1,0
7425,10,0,115000,0,2,14.34,1,0,37,1,1
4800,0,3,38160,2,2,8.27,2,0,10,1,2
12000,4,0,72000,0,9,14.68,0,44,33,1,2
2700,1,4,0,1,9,29.17,2,8,14,1,2
4950,0,4,17000,0,2,12.59,0,0,5,0,2
17600,9,0,85000,2,2,22.19,0,54,34,1,0
20000,1,0,0,1,2,30.64,0,68,25,1,2
7000,0,0,87500,2,2,23.81,1,32,53,1,1
14900,8,3,37336,0,2,32.69,0,3,33,1,2
12050,10,4,36000,2,2,15.73,0,0,21,0,1
10000,8,0,0,0,6,2.19,1,0,27,0,1
35000,1,0,135000,0,7,13.16,3,15,34,1,2
20000,10,4,135000,1,1,12.17,0,0,9,1,1
35000,1,0,115000,0,2,28.19,1,0,37,1,1
10000,1,0,47000,0,9,29.31,2,0,15,1,2
20000,3,5,47000,0,1,17.41,0,0,13,1,1
35000,10,0,150000,0,2,4.49,3,0,13,1,2
16000,4,5,28800,0,1,17.04,0,0,12,1,2
12800,2,5,0,2,2,18.74,0,0,16,0,0
7200,2,0,40000,0,2,15.78,1,76,26,1,1
16000,9,0,52000,2,2,15.28,1,36,31,0,1
28000,1,0,500000,2,1,15.59,2,2,31,1,0
5000,11,0,58000,0,12,17.26,0,0,14,1,1
13600,3,0,87000,1,2,10.72,0,0,21,0,1
9600,1,5,0,0,2,22.7,0,41,13,0,1
12000,1,3,88000,0,1,29.11,0,0,26,1,0
7000,8,3,24000,0,2,19.82,1,71,32,1,2
5125,9,0,68917,0,4,20.77,1,7,55,1,1
7000,2,0,0,2,9,20.64,1,0,25,0,1
4000,4,4,0,2,2,7.81,0,0,7,1,1
16000,2,5,130000,0,2,16.63,4,10,50,1,2
6000,7,5,30000,0,4,26.32,0,0,20,0,1
2400,11,4,9744,0,9,21.69,0,75,10,1,2
22275,2,0,67500,0,6,4.11,0,0,14,1,1
5000,10,4,0,2,3,17.28,0,0,16,1,0
20000,8,0,0,0,1,28.15,2,0,33,1,1
7000,9,4,90000,2,2,8.31,0,38,10,0,1
12000,3,4,125000,1,9,9.88,0,0,17,1,1
21600,3,5,100000,0,4,3.41,2,20,8,1,2
25000,10,4,0,1,2,12.38,0,0,39,0,0
17100,4,0,39000,0,2,28.31,0,0,8,0,1
14075,8,0,76000,0,2,11.95,1,68,21,1,2
8000,4,4,25000,1,6,6.48,2,0,7,1,1
3500,5,4,30500,1,8,15.74,0,3,22,0,1
3600,5,4,27000,2,2,22.18,0,0,9,1,1
35000,1,0,80380,0,1,24.81,0,0,18,1,2
22225,3,3,50000,1,2,30.39,0,80,25,1,1
10000,4,4,39000,0,2,28.52,0,70,40,1,1
18000,10,0,55000,2,2,13.7,1,57,16,1,2
8400,0,5,54000,0,2,19.51,2,0,33,1,2
20000,1,0,68600,0,2,16.51,3,0,40,0,1
4800,3,0,29000,0,1,32.4,0,30,13,0,2
11850,10,4,35000,2,2,9.95,2,59,32,1,1
35000,7,0,0,0,2,16.97,0,42,31,1,2
22350,1,5,59000,0,9,27.42,1,51,56,0,2
5000,4,4,48000,2,2,6.2,0,0,13,1,0
16000,8,5,70720,0,11,5.35,1,0,14,0,2
24000,1,4,0,1,2,17.17,0,43,34,1,2
1000,7,0,48000,1,4,1.93,1,0,9,1,2
